address_code,sd_name,ssg_name,gemd_name,total_gov,total_prv,total_com
,서울,강남구,,423,236042,14644
,서울,강동구,,306,160611,8347
,서울,강북구,,322,67888,4197
,서울,강서구,,358,186091,17051
,서울,관악구,,286,109429,5805
,서울,광진구,,299,90032,4946
,서울,구로구,,302,130462,8900
,서울,금천구,,182,83984,5573
,서울,노원구,,312,140321,8623
,서울,도봉구,,275,85641,7246
,서울,동대문구,,320,101023,5199
,서울,동작구,,315,101834,2691
,서울,마포구,,348,112247,7657
,서울,서대문구,,458,84715,5725
,서울,서초구,,503,169943,8095
,서울,성동구,,377,93356,11183
,서울,성북구,,293,117043,4829
,서울,송파구,,417,227582,14441
,서울,양천구,,344,139683,8812
,서울,영등포구,,379,133588,7996
,서울,용산구,,337,69283,2248
,서울,은평구,,300,125327,7123
,서울,종로구,,3839,43652,2341
,서울,중구,,1328,44861,2725
,서울,중랑구,,246,105120,9573
,부산,강서구,,344,92071,5711
,부산,금정구,,273,75850,6892
,부산,기장군,,263,89443,3070
,부산,남구,,212,93149,9147
,부산,동구,,199,48589,4489
,부산,동래구,,167,99907,3934
,부산,부산진구,,371,141140,35947
,부산,북구,,272,99960,3625
,부산,사상구,,258,81797,5137
,부산,사하구,,273,107000,5977
,부산,서구,,135,30813,1335
,부산,수영구,,216,64315,65274
,부산,연제구,,1062,128244,30116
,부산,영도구,,229,30934,1980
,부산,중구,,307,38691,7213
,부산,해운대구,,326,158189,4999
,대구,군위군,,141,15986,254
,대구,남구,,404,56158,1584
,대구,달서구,,496,272219,28452
,대구,달성군,,598,139799,5129
,대구,동구,,368,165399,9462
,대구,북구,,543,201811,8095
,대구,서구,,265,73797,4941
,대구,수성구,,608,213295,4972
,대구,중구,,320,56102,1985
,인천,강화군,,374,40325,3496
,인천,계양구,,297,113028,106265
,인천,남동구,,1017,255530,24191
,인천,동구,,110,23980,2627
,인천,미추홀구,,442,164888,18937
,인천,부평구,,336,220840,35106
,인천,서구,,557,320711,14731
,인천,연수구,,406,231528,10593
,인천,옹진군,,255,26062,39982
,인천,중구,,632,87241,11781
,광주,광산구,,614,206781,13215
,광주,남구,,237,94845,2481
,광주,동구,,259,47380,1007
,광주,북구,,619,200204,9567
,광주,서구,,706,146155,5958
,대전,대덕구,,249,87844,6829
,대전,동구,,256,94146,5307
,대전,서구,,856,211940,30700
,대전,유성구,,720,199001,5452
,대전,중구,,231,99358,5127
,울산,남구,,816,159927,7334
,울산,동구,,193,64649,1277
,울산,북구,,229,124962,3827
,울산,울주군,,434,135534,7143
,울산,중구,,350,103167,2655
,세종,세종특별자치시,,1110,198524,5712
,경기,가평군,,418,33578,595
,경기,고양시,덕양구,694,196338,5306
,경기,고양시,일산동구,272,132967,6419
,경기,고양시,일산서구,133,114978,4420
,경기,과천시,,713,31920,989
,경기,광명시,,334,110843,4578
,경기,광주시,,441,209793,9441
