월(Monthly)	시도명	시군구	승용	승용	승용	승용	승합	승합	승합	승합	화물	화물	화물	화물	특수	특수	특수	특수	총계	총계	총계	총계
월(Monthly)	시도명	시군구	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계	관용	자가용	영업용	계
2026-02	서울	강남구	156	218,506	11,686	230,348	59	3,725	537	4,321	191	13,425	2,278	15,894	17	386	143	546	423	236,042	14,644	251,109
2026-02	서울	강동구	109	145,489	4,955	150,553	41	3,040	607	3,688	148	11,813	2,583	14,544	8	269	202	479	306	160,611	8,347	169,264
2026-02	서울	강북구	113	59,374	2,133	61,620	66	1,886	716	2,668	126	6,485	1,237	7,848	17	143	111	271	322	67,888	4,197	72,407
2026-02	서울	강서구	137	166,230	11,063	177,430	46	3,828	1,376	5,250	157	15,544	4,353	20,054	18	489	259	766	358	186,091	17,051	203,500
2026-02	서울	관악구	88	98,102	3,063	101,253	44	2,608	356	3,008	142	8,519	2,222	10,883	12	200	164	376	286	109,429	5,805	115,520
2026-02	서울	광진구	85	79,792	3,014	82,891	43	1,826	336	2,205	161	8,276	1,506	9,943	10	138	90	238	299	90,032	4,946	95,277
2026-02	서울	구로구	111	113,498	5,520	119,129	59	3,403	547	4,009	126	13,255	2,669	16,050	6	306	164	476	302	130,462	8,900	139,664
2026-02	서울	금천구	58	71,314	2,850	74,222	33	2,236	434	2,703	78	10,237	2,198	12,513	13	197	91	301	182	83,984	5,573	89,739
2026-02	서울	노원구	81	127,885	5,565	133,531	52	2,847	715	3,614	167	9,310	2,099	11,576	12	279	244	535	312	140,321	8,623	149,256
2026-02	서울	도봉구	90	75,656	4,475	80,221	49	2,022	562	2,633	124	7,763	2,056	9,943	12	200	153	365	275	85,641	7,246	93,162
2026-02	서울	동대문구	110	89,109	2,748	91,967	60	2,263	127	2,450	135	9,434	2,227	11,796	15	217	97	329	320	101,023	5,199	106,542
2026-02	서울	동작구	118	93,601	1,284	95,003	44	1,965	128	2,137	136	6,114	1,106	7,356	17	154	173	344	315	101,834	2,691	104,840
2026-02	서울	마포구	95	100,854	3,932	104,881	54	2,234	598	2,886	176	8,887	2,639	11,702	23	272	488	783	348	112,247	7,657	120,252
2026-02	서울	서대문구	218	77,277	3,459	80,954	99	1,773	401	2,273	135	5,509	1,756	7,400	6	156	109	271	458	84,715	5,725	90,898
2026-02	서울	서초구	171	156,739	3,144	160,054	133	2,706	632	3,471	183	10,221	4,085	14,489	16	277	234	527	503	169,943	8,095	178,541
2026-02	서울	성동구	133	83,495	8,169	91,797	50	1,638	930	2,618	177	8,010	1,933	10,120	17	213	151	381	377	93,356	11,183	104,916
2026-02	서울	성북구	93	106,202	2,010	108,305	46	2,471	1,071	3,588	144	8,153	1,648	9,945	10	217	100	327	293	117,043	4,829	122,165
2026-02	서울	송파구	132	207,055	7,605	214,792	107	3,640	1,557	5,304	157	16,462	4,926	21,545	21	425	353	799	417	227,582	14,441	242,440
2026-02	서울	양천구	127	126,214	4,892	131,233	65	2,733	739	3,537	145	10,466	2,760	13,371	7	270	421	698	344	139,683	8,812	148,839
2026-02	서울	영등포구	128	117,426	2,779	120,333	62	3,240	199	3,501	172	12,455	4,373	17,000	17	467	645	1,129	379	133,588	7,996	141,963
2026-02	서울	용산구	145	62,839	1,086	64,070	56	1,579	73	1,708	126	4,720	1,055	5,901	10	145	34	189	337	69,283	2,248	71,868
2026-02	서울	은평구	100	113,095	4,169	117,364	45	2,607	751	3,403	139	9,417	2,022	11,578	16	208	181	405	300	125,327	7,123	132,750
2026-02	서울	종로구	1,872	38,766	239	40,877	1,517	1,276	252	3,045	346	3,508	1,741	5,595	104	102	109	315	3,839	43,652	2,341	49,832
2026-02	서울	중구	285	38,618	1,247	40,150	841	1,623	293	2,757	175	4,423	1,099	5,697	27	197	86	310	1,328	44,861	2,725	48,914
2026-02	서울	중랑구	79	91,177	5,954	97,210	32	2,637	581	3,250	122	11,060	2,719	13,901	13	246	319	578	246	105,120	9,573	114,939
2026-02	서울	계	4,834	2,658,313	107,041	2,770,188	3,703	61,806	14,518	80,027	3,888	233,466	59,290	296,644	444	6,173	5,121	11,738	12,869	2,959,758	185,970	3,158,597
2026-02	부산	강서구	125	73,837	1,762	75,724	82	1,542	411	2,035	128	16,242	2,871	19,241	9	450	667	1,126	344	92,071	5,711	98,126
2026-02	부산	금정구	99	64,668	2,409	67,176	60	1,842	950	2,852	101	9,139	2,932	12,172	13	201	601	815	273	75,850	6,892	83,015
2026-02	부산	기장군	80	76,621	871	77,572	46	1,876	545	2,467	124	10,670	1,379	12,173	13	276	275	564	263	89,443	3,070	92,776
2026-02	부산	남구	98	82,490	2,842	85,430	53	1,896	487	2,436	57	8,419	4,363	12,839	4	344	1,455	1,803	212	93,149	9,147	102,508
2026-02	부산	동구	84	44,260	1,022	45,366	46	774	175	995	64	3,465	2,260	5,789	5	90	1,032	1,127	199	48,589	4,489	53,277
2026-02	부산	동래구	73	88,331	1,682	90,086	27	1,736	351	2,114	65	9,612	1,631	11,308	2	228	270	500	167	99,907	3,934	104,008
2026-02	부산	부산진구	128	125,580	32,339	158,047	63	2,479	544	3,086	170	12,864	2,496	15,530	10	217	568	795	371	141,140	35,947	177,458
2026-02	부산	북구	105	86,406	1,463	87,974	51	1,932	316	2,299	105	11,422	1,594	13,121	11	200	252	463	272	99,960	3,625	103,857
2026-02	부산	사상구	99	65,788	2,290	68,177	52	1,916	205	2,173	99	13,851	2,325	16,275	8	242	317	567	258	81,797	5,137	87,192
