주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자,제공기관코드,제공기관명
406-2-000001,송악산공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 상모리 165,15,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.20598643,126.288942,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000068,하모리 홍마트 북측 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 2143-12,11,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-4092,33.220066,126.252586,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000008,하모리 삼성의원 앞 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 841-58,6,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.22033253,126.2531986,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000033,하모리 제주은행 맞은편 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 846-11,17,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.22124006,126.253279,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000025,하모3리마을회관 옆 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 1077-1,10,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2632,33.221643,126.2495852,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000018,제일교회 부근 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 1129-1,5,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-2972,33.222216,126.249797,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000028,상모아파트 앞 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 상모리 3970-2,13,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.222557,126.2572262,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000016,대정하모 공영노외2주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 964-2,14,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-2632,33.223027,126.252066,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000088,대정하모 공영노외4주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 861,40,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,혼합,30,1000,15,500,,,75000,신용카드,유공납세자(선정일로부터 1년간). 감면액 이상의 자원봉사마일리지 소지자. 장애정도가 심한 장애인 1일 1차례 3시간 면제+경차. 저공해차. 전기차. 4.3 희생자 및 유족 50 감면+최근 2년 이내 헌혈증 소지자. 장애정도가 심하지 않은 장애인. 국가유공자. 5.18민주유공자. 고엽제 후유의증 환자. 임산부. 다자녀가정. 의사상자. 장기등 기증자 1일 1차례 3시간 50 감면. 유료운영시간(평일 09:00 ~ 18:00) 이외는 무료,제주특별자치도 서귀포시청,064-760-3132,33.223353,126.2538151,,2024-07-12,6520000,제주특별자치도 서귀포시
406-2-000069,서부종합사회복지관 남측 공영주차장,공영,노외,,제주특별자치도 서귀포시 대정읍 하모리 1173-1,34,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,제주특별자치도 서귀포시청,064-760-3132,33.223648,126.248055,,2024-07-12,6520000,제주특별자치도 서귀포시
